2018-02-05 22:13:03.908821,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:13:03.908821,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:13:44.885940,0                         ,BTC      ,59481.769    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6279.3 ,237     ,USD/BTC     ,USD      ,59481.769
1                         ,BTC                       ,2258.601 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2258.601
2018-02-05 22:13:44.887512,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:13:44.887512,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:14:29.105831,0                         ,BTC      ,59481.769    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6293.95,237     ,USD/BTC     ,USD      ,59481.769
1                         ,BTC                       ,2258.601 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2258.601
2018-02-05 22:14:29.105530,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:14:29.105530,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:15:13.679654,0                         ,BTC      ,59480.894    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6350.0 ,237     ,USD/BTC     ,USD      ,59480.894
1                         ,BTC                       ,2255.156 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2255.156
2018-02-05 22:15:13.673907,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:15:13.673907,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:15:54.116906,0                         ,BTC      ,59477.496    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6313.96,237     ,USD/BTC     ,USD      ,59477.496
1                         ,BTC                       ,2254.244 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2254.244
2018-02-05 22:15:54.115394,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:15:54.115394,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:16:37.124557,0                         ,BTC      ,59496.472    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6350.0 ,237     ,USD/BTC     ,USD      ,59496.472
1                         ,BTC                       ,2254.244 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2254.244
2018-02-05 22:16:37.123972,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:16:37.123972,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:17:22.791086,0                         ,BTC      ,59496.472    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6307.87,237     ,USD/BTC     ,USD      ,59496.472
1                         ,BTC                       ,2248.855 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2248.855
2018-02-05 22:17:22.791268,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:17:22.791268,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:18:02.936390,0                         ,BTC      ,59491.373    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6285.03,237     ,USD/BTC     ,USD      ,59491.373
1                         ,BTC                       ,2245.587 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2245.587
2018-02-05 22:18:02.936440,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
